iter	Passed	Remaining
0	30	30088
1	57	28556
2	85	28440
3	113	28150
4	140	28058
5	166	27584
6	194	27618
7	220	27344
8	245	27042
9	269	26654
10	294	26498
11	321	26508
12	345	26263
13	369	26003
14	394	25935
15	418	25737
16	442	25612
17	466	25459
18	492	25425
19	515	25268
20	541	25262
21	565	25125
22	588	25015
23	613	24947
24	641	25008
25	666	24952
26	690	24873
27	714	24819
28	739	24766
29	763	24675
30	786	24586
31	810	24503
32	834	24448
33	858	24394
34	883	24356
35	909	24365
36	934	24319
37	958	24255
38	981	24196
39	1004	24113
40	1030	24107
41	1056	24089
42	1080	24046
43	1104	24002
44	1129	23972
45	1159	24046
46	1184	24016
47	1209	23990
48	1234	23965
49	1259	23936
50	1283	23876
51	1309	23868
52	1334	23847
53	1359	23818
54	1384	23782
55	1409	23758
56	1436	23762
57	1461	23737
58	1485	23696
59	1510	23662
60	1533	23598
61	1556	23541
62	1581	23516
63	1604	23473
64	1629	23436
65	1655	23431
66	1680	23406
67	1704	23356
68	1728	23321
69	1754	23311
70	1778	23276
71	1802	23227
72	1825	23181
73	1849	23147
74	1874	23116
75	1899	23090
76	1923	23061
77	1949	23042
78	1975	23026
79	1998	22978
80	2021	22937
81	2046	22908
82	2073	22906
83	2099	22898
84	2124	22872
85	2151	22865
86	2175	22828
87	2199	22792
88	2224	22772
89	2249	22748
90	2274	22719
91	2297	22678
92	2321	22644
93	2349	22643
94	2374	22616
95	2397	22579
96	2422	22549
97	2446	22517
98	2470	22487
99	2497	22477
100	2521	22441
101	2548	22438
102	2571	22397
103	2595	22364
104	2619	22326
105	2644	22301
106	2667	22258
107	2692	22234
108	2717	22214
109	2742	22185
110	2764	22138
111	2789	22115
112	2812	22076
113	2835	22035
114	2858	22001
115	2883	21972
116	2908	21952
117	2934	21934
118	2958	21902
119	2984	21884
120	3009	21863
121	3033	21833
122	3058	21810
123	3084	21792
124	3111	21777
125	3135	21749
126	3158	21714
127	3183	21687
128	3208	21661
129	3233	21637
130	3258	21614
